onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-37	ses-2	1	1.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	0.03	2.0	2.03	2.0	245.0	4.323	1.705
n/a	n/a	sub-37	ses-2	1	2.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	6.041	2.0	8.041	2.0	245.0	10.334	1.705
n/a	n/a	sub-37	ses-2	1	3.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	12.055	2.0	14.055	2.0	245.0	16.348	1.705
n/a	n/a	sub-37	ses-2	1	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.068	2.0	20.068	2.0	245.0	22.361	1.705
n/a	n/a	sub-37	ses-2	1	5.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	24.081	2.0	26.081	2.0	245.0	28.374	1.705
n/a	n/a	sub-37	ses-2	1	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.094	2.0	32.094	2.0	245.0	34.387	1.705
n/a	n/a	sub-37	ses-2	1	7.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	36.107	2.0	38.107	2.0	245.0	40.4	1.705
n/a	n/a	sub-37	ses-2	1	8.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	42.12	2.0	44.12	2.0	245.0	46.413	1.705
n/a	n/a	sub-37	ses-2	1	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.133	2.0	50.133	2.0	245.0	52.426	1.705
n/a	n/a	sub-37	ses-2	1	10.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	54.146	2.0	56.146	2.0	245.0	58.439	1.705
n/a	n/a	sub-37	ses-2	1	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.159	2.0	62.159	2.0	245.0	64.452	1.705
n/a	n/a	sub-37	ses-2	1	12.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	66.172	2.0	68.172	2.0	245.0	70.465	1.705
n/a	n/a	sub-37	ses-2	1	13.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	72.185	2.0	74.185	2.0	245.0	76.478	1.705
n/a	n/a	sub-37	ses-2	1	14.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	78.198	2.0	80.198	2.0	245.0	82.491	1.705
n/a	n/a	sub-37	ses-2	1	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.211	2.0	86.211	2.0	245.0	88.504	1.705
n/a	n/a	sub-37	ses-2	1	16.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	90.224	2.0	92.224	2.0	245.0	94.517	1.705
n/a	n/a	sub-37	ses-2	1	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.237	2.0	98.237	2.0	245.0	100.53	1.705
n/a	n/a	sub-37	ses-2	1	18.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	102.25	2.0	104.25	2.0	245.0	106.543	1.705
n/a	n/a	sub-37	ses-2	1	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.263	2.0	110.263	2.0	245.0	112.556	1.705
n/a	n/a	sub-37	ses-2	1	20.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	114.277	2.0	116.277	2.0	245.0	118.57	1.705
n/a	n/a	sub-37	ses-2	1	21.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	120.29	2.0	122.29	2.0	245.0	124.583	1.705
n/a	n/a	sub-37	ses-2	1	22.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	126.303	2.0	128.303	2.0	245.0	130.596	1.705
n/a	n/a	sub-37	ses-2	1	23.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	132.316	2.0	134.316	2.0	245.0	136.609	1.705
n/a	n/a	sub-37	ses-2	1	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.329	2.0	140.329	2.0	245.0	142.622	1.705
n/a	n/a	sub-37	ses-2	1	25.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	144.342	2.0	146.342	2.0	245.0	148.635	1.705
n/a	n/a	sub-37	ses-2	1	26.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	150.355	2.0	152.355	2.0	245.0	154.648	1.705
n/a	n/a	sub-37	ses-2	1	27.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	156.368	2.0	158.368	2.0	245.0	160.661	1.705
n/a	n/a	sub-37	ses-2	1	28.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	162.381	2.0	164.381	2.0	245.0	166.674	1.705
n/a	n/a	sub-37	ses-2	1	29.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	168.394	2.0	170.394	2.0	245.0	172.687	1.705
n/a	n/a	sub-37	ses-2	1	30.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	174.407	2.0	176.407	2.0	245.0	178.7	1.705
n/a	n/a	sub-37	ses-2	1	31.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	180.42	2.0	182.42	2.0	245.0	184.713	1.705
n/a	n/a	sub-37	ses-2	1	32.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	186.433	2.0	188.433	2.0	245.0	190.726	1.705
n/a	n/a	sub-37	ses-2	1	33.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	192.446	2.0	194.446	2.0	245.0	196.739	1.705
n/a	n/a	sub-37	ses-2	1	34.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	198.459	2.0	200.459	2.0	245.0	202.752	1.705
n/a	n/a	sub-37	ses-2	1	35.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	204.472	2.0	206.472	2.0	245.0	208.765	1.705
n/a	n/a	sub-37	ses-2	1	36.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	210.486	2.0	212.486	2.0	245.0	214.779	1.705
n/a	n/a	sub-37	ses-2	1	37.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	216.499	2.0	218.499	2.0	245.0	220.792	1.705
n/a	n/a	sub-37	ses-2	1	38.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	222.512	2.0	224.512	2.0	245.0	226.805	1.705
n/a	n/a	sub-37	ses-2	1	39.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	228.525	2.0	230.525	2.0	245.0	232.818	1.705
n/a	n/a	sub-37	ses-2	1	40.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	234.538	2.0	236.538	2.0	245.0	238.831	1.705
n/a	n/a	sub-37	ses-2	1	41.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	240.551	2.0	242.551	2.0	245.0	244.844	1.705
n/a	n/a	sub-37	ses-2	1	42.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	246.564	2.0	248.564	2.0	245.0	250.857	1.705
n/a	n/a	sub-37	ses-2	1	43.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	252.577	2.0	254.577	2.0	245.0	256.87	1.705
n/a	n/a	sub-37	ses-2	1	44.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	258.59	2.0	260.59	2.0	245.0	262.883	1.705
n/a	n/a	sub-37	ses-2	1	45.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	264.603	2.0	266.603	2.0	245.0	268.896	1.705
n/a	n/a	sub-37	ses-2	1	46.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	270.616	2.0	272.616	2.0	245.0	274.909	1.705
n/a	n/a	sub-37	ses-2	1	47.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	276.629	2.0	278.629	2.0	245.0	280.922	1.705
n/a	n/a	sub-37	ses-2	1	48.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	282.642	2.0	284.642	2.0	245.0	286.935	1.705
n/a	n/a	sub-37	ses-2	1	49.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	288.655	2.0	290.655	2.0	245.0	292.948	1.705
n/a	n/a	sub-37	ses-2	1	50.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	294.668	2.0	296.668	2.0	245.0	298.961	1.705
n/a	n/a	sub-37	ses-2	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	228.9835376554015	n/a	1.6877699274198728
